country,continent,year,lifeExp,pop,gdpPercap
Afghanistan,Asia,1990,50.3,13030000,709.5
Afghanistan,Asia,1991,50.2,14070000,705.4
Afghanistan,Asia,1992,50.4,15470000,649.3
Afghanistan,Asia,1993,50.5,17050000,558.9
Afghanistan,Asia,1994,50.1,18550000,500.4
Afghanistan,Asia,1995,50.4,19790000,601.9
Afghanistan,Asia,1996,50.6,20680000,617.9
Afghanistan,Asia,1997,50.7,21300000,635.3
Afghanistan,Asia,1998,50.0,21750000,653.3
Afghanistan,Asia,1999,50.8,22230000,671.0
Afghanistan,Asia,2000,51.0,22860000,663.9
Afghanistan,Asia,2001,51.1,23680000,595.0
Afghanistan,Asia,2002,51.6,24640000,726.7
Afghanistan,Asia,2003,52.1,25680000,785.1
Afghanistan,Asia,2004,52.5,26690000,804.7
Afghanistan,Asia,2005,52.9,27610000,874.0
Afghanistan,Asia,2006,53.2,28420000,887.9
Afghanistan,Asia,2007,53.6,29150000,983.7
Afghanistan,Asia,2008,54.0,29840000,984.8
Afghanistan,Asia,2009,54.5,30580000,1155.0
Afghanistan,Asia,2010,54.8,31410000,1215.0
Afghanistan,Asia,2011,55.2,32360000,1261.0
Afghanistan,Asia,2012,55.5,33400000,1350.0
Afghanistan,Asia,2013,56.2,34500000,1351.0
Albania,Europe,1990,73.5,3289000,3825.0
Albania,Europe,1991,73.4,3292000,2718.0
Albania,Europe,1992,73.4,3267000,2497.0
Albania,Europe,1993,73.4,3225000,2717.0
Albania,Europe,1994,73.6,3179000,2919.0
Albania,Europe,1995,73.8,3141000,3286.0
Albania,Europe,1996,73.9,3113000,3570.0
Albania,Europe,1997,73.9,3092000,3193.0
Albania,Europe,1998,73.8,3079000,3585.0
Albania,Europe,1999,74.0,3073000,3928.0
Albania,Europe,2000,74.2,3072000,4195.0
Albania,Europe,2001,74.4,3077000,4476.0
Albania,Europe,2002,74.5,3090000,4604.0
Albania,Europe,2003,74.4,3107000,4855.0
Albania,Europe,2004,74.4,3125000,5115.0
Albania,Europe,2005,74.4,3142000,5369.0
Albania,Europe,2006,74.5,3157000,5652.0
Albania,Europe,2007,74.7,3170000,5958.0
Albania,Europe,2008,74.9,3181000,6366.0
Albania,Europe,2009,75.0,3193000,6551.0
Albania,Europe,2010,75.2,3204000,6746.0
Albania,Europe,2011,75.5,3216000,6914.0
Albania,Europe,2012,75.7,3227000,6969.0
Albania,Europe,2013,75.8,3238000,7059.0
Algeria,Africa,1990,70.5,25300000,5245.0
Algeria,Africa,1991,70.8,25930000,5061.0
Algeria,Africa,1992,71.1,26560000,5023.0
Algeria,Africa,1993,71.3,27170000,4800.0
Algeria,Africa,1994,71.5,27750000,4653.0
Algeria,Africa,1995,71.7,28290000,4732.0
Algeria,Africa,1996,72.1,28790000,4824.0
Algeria,Africa,1997,72.4,29240000,4797.0
Algeria,Africa,1998,72.9,29670000,4965.0
Algeria,Africa,1999,73.0,30100000,5049.0
Algeria,Africa,2000,73.2,30530000,5099.0
Algeria,Africa,2001,73.4,30980000,5156.0
Algeria,Africa,2002,73.6,31440000,5288.0
Algeria,Africa,2003,73.7,31910000,5577.0
Algeria,Africa,2004,74.2,32400000,5791.0
Algeria,Africa,2005,74.5,32890000,6011.0
Algeria,Africa,2006,74.8,33390000,6022.0
Algeria,Africa,2007,75.0,33910000,6134.0
Algeria,Africa,2008,75.3,34430000,6163.0
Algeria,Africa,2009,75.6,34950000,6174.0
Algeria,Africa,2010,75.9,35470000,6301.0
Algeria,Africa,2011,76.1,35980000,6355.0
Algeria,Africa,2012,76.2,36490000,6419.0
Algeria,Africa,2013,76.3,36980000,6535.0
Andorra,Europe,1990,80.7,52770,28510.0
Andorra,Europe,1991,80.8,55000,28090.0
Andorra,Europe,1992,81.0,57770,27040.0
Andorra,Europe,1993,81.2,60670,25510.0
Andorra,Europe,1994,81.4,63110,25090.0
Andorra,Europe,1995,81.6,64700,25060.0
Andorra,Europe,1996,81.8,65230,25840.0
Andorra,Europe,1997,82.1,64900,28060.0
Andorra,Europe,1998,82.3,64250,28980.0
Andorra,Europe,1999,82.5,63980,30140.0
Andorra,Europe,2000,82.7,64630,30270.0
Andorra,Europe,2001,82.9,66390,33290.0
Andorra,Europe,2002,83.0,69040,34490.0
Andorra,Europe,2003,83.1,72200,35930.0
Andorra,Europe,2004,83.0,75290,37430.0
Andorra,Europe,2005,83.1,77890,39000.0
Andorra,Europe,2006,83.2,79870,39920.0
Andorra,Europe,2007,83.4,81390,39240.0
Andorra,Europe,2008,83.5,82580,37050.0
Andorra,Europe,2009,83.6,83680,34710.0
Andorra,Europe,2010,83.7,84860,33050.0
Andorra,Europe,2011,83.8,86160,31630.0
Angola,Africa,1990,50.3,10340000,2777.0
